Sample,ContigName,RelAbundance,Order,Family,crAssphage,LifeCycle,ViralCluster,CRISPRMatch,Reads,Treatment
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_33_length_3875_cov_2_171825-cat_2,0.000343549,Caudovirales,Siphoviridae,N,lytic,421_0,NA,25,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_33_length_4353_cov_3_700670-cat_2,0.000423789,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,41,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_11_length_11200_cov_3_556760-cat_2,0.000459398,Caudovirales,Siphoviridae,N,lytic,Overlap,NA,112,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_9_length_18418_cov_3_929747-cat_2,0.000469405,Caudovirales,Siphoviridae,N,lysogenic,606_0,Robinsoniella,173,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_77_length_3611_cov_2_909013-cat_2,0.000469677,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,37,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_24_length_5194_cov_2_680087-cat_2,0.000470447,Unassigned,Unassigned,N,lytic,Outlier,NA,49,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_85_length_3928_cov_23_978690-cat_2,0.000485426,Caudovirales,Myoviridae,N,lytic,682_0,NA,38,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_49_length_6049_cov_6_971800-cat_2,0.000489338,Caudovirales,Siphoviridae,N,lytic,Overlap,NA,62,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_48_length_7303_cov_3_150641-cat_2,0.000507121,Caudovirales,Podoviridae,N,lysogenic,Outlier,Robinsoniella,79,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_103_length_3566_cov_2_157604-cat_2,0.00054557,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,37,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_142_length_4939_cov_2_662095-cat_2,0.000559577,Caudovirales,Caudovirales,N,lytic,Overlap,NA,57,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_66_length_5565_cov_2_998713-cat_2,0.000562714,Caudovirales,Myoviridae,N,lytic,Overlap,NA,68,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_114_length_3812_cov_2_536499-cat_2,0.000576863,Unassigned,Unassigned,N,lytic,710_0,NA,40,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_67_length_4778_cov_2_363363-cat_2,0.000606688,Unassigned,Unassigned,N,lytic,Outlier,NA,59,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_20_length_6575_cov_3_151985-cat_2,0.000612092,Unassigned,Unassigned,N,lytic,656_0,NA,78,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_87_length_3886_cov_1_774674-cat_2,0.000716869,Caudovirales,Caudovirales,N,lytic,Outlier,NA,52,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_27_length_4916_cov_2_957402-cat_2,0.000743797,Caudovirales,Caudovirales,N,lytic,Outlier,NA,70,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_17_length_3788_cov_1_910134-cat_2,0.000756271,Caudovirales,Caudovirales,N,lytic,257_0,NA,66,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_57_length_3772_cov_1_460082-cat_2,0.000774855,Caudovirales,Caudovirales,N,lytic,Outlier,NA,73,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_46_length_6224_cov_4_605708-cat_2,0.000778801,Unassigned,Unassigned,N,lytic,Outlier,NA,94,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_52_length_4280_cov_2_009632-cat_2,0.000825643,Caudovirales,Caudovirales,N,lytic,Outlier,NA,65,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_45_length_3762_cov_2_036589-cat_2,0.000840977,Unassigned,Unassigned,N,lytic,Outlier,NA,64,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_63_length_5883_cov_50_604065-cat_2,0.000875235,Unassigned,Unassigned,N,lytic,Singleton,Bacteroides,106,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_38_length_9135_cov_3_851021-cat_3,0.000911386,Unassigned,Unassigned,N,lytic,861_0,NA,168,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_8_length_6248_cov_3_166639-cat_2,0.000913133,Caudovirales,Myoviridae,N,lytic,257_0,NA,129,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_41_length_3496_cov_1_831998-cat_2,0.000926059,Unassigned,Unassigned,N,lytic,Outlier,NA,62,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_40_length_8367_cov_3_105097-cat_2,0.000943141,Caudovirales,Myoviridae,N,lytic,Outlier,NA,151,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_20_length_3432_cov_2_403631-cat_2,0.000959281,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,68,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_148_length_4712_cov_5_620169-cat_2,0.000961164,Unassigned,Unassigned,N,lytic,Outlier,NA,98,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_23_length_11945_cov_5_922491-cat_2,0.000998913,Caudovirales,Caudovirales,N,lytic,656_0,NA,220,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_120_length_3715_cov_2_508082-cat_2,0.001011307,Unassigned,Unassigned,N,lytic,Outlier,NA,72,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_10_length_17694_cov_4_468378-cat_2,0.001022749,Caudovirales,Caudovirales,N,lytic,656_0,NA,341,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_65_length_3358_cov_2_558651-cat_2,0.001059709,Unassigned,Unassigned,N,lytic,Outlier,NA,69,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_23_length_3118_cov_1_580586-cat_2,0.001070399,Caudovirales,Myoviridae,N,lytic,Outlier,NA,77,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_16_length_4196_cov_1_807815-cat_1,0.001091577,Caudovirales,Caudovirales,N,lytic,416_0,NA,98,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_19_length_13919_cov_6_366444-cat_3,0.001107588,Unassigned,Unassigned,N,lytic,861_0,NA,302,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_18_length_14940_cov_3_439884-cat_2,0.001125169,Caudovirales,Caudovirales,N,lytic,Outlier,NA,306,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_8_length_20712_cov_5_948409-cat_2,0.001144459,Unassigned,Unassigned,N,lytic,861_0,NA,451,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_7_length_14469_cov_6_225213-cat_2,0.001169242,Unassigned,Unassigned,N,lytic,861_0,NA,325,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_63_length_4853_cov_5_876640-cat_2,0.001241399,Unassigned,Unassigned,N,lytic,710_0,NA,112,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_2_length_41032_cov_5_093778-cat_1,0.001302436,Caudovirales,Siphoviridae,N,lytic,259_0,NA,1151,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_116_length_4481_cov_4_485677-cat_2,0.001303952,Caudovirales,Myoviridae,N,lytic,257_0,NA,128,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_6_length_8231_cov_4_037389-cat_2,0.001371737,Caudovirales,Myoviridae,N,lytic,Outlier,NA,215,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_34_length_5690_cov_9_019054-cat_2,0.001410195,Unassigned,Unassigned,N,lytic,Outlier,NA,156,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_16_length_14486_cov_3_124660-cat_2,0.001411692,Unassigned,Unassigned,N,lytic,Singleton,NA,377,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_15_length_5516_cov_2_917424-cat_2,0.001425536,Unassigned,Unassigned,N,lytic,Outlier,NA,148,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_7_length_6361_cov_4_574912-cat_2,0.001454333,Caudovirales,Siphoviridae,N,lytic,631_0,NA,205,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_7_length_39072_cov_6_345307-cat_1,0.001458719,Caudovirales,Siphoviridae,N,lytic,259_0,NA,1212,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_140403_cov_23_455331-cat_2,0.001477821,Caudovirales,Myoviridae,N,lytic,640_0,NA,3943,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_106840_cov_9_295606-cat_2,0.001520546,Caudovirales,Myoviridae,N,lytic,640_0,NA,3015,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_15_length_18548_cov_12_044569-cat_2,0.001528361,Caudovirales,Caudovirales,N,lytic,552_0,NA,519,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_3_length_75286_cov_8_329102-cat_2,0.001606187,Caudovirales,Myoviridae,N,lytic,640_0,NA,2270,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_4_length_47352_cov_18_157861-cat_2,0.001673896,Caudovirales,Siphoviridae,N,lytic,259_0,NA,1697,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_4_length_64597_cov_5_526772-cat_2,0.001683466,Caudovirales,Myoviridae,N,lytic,Outlier,NA,2026,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_5_length_33081_cov_6_516993-cat_2,0.00181145,Caudovirales,Myoviridae,N,lytic,Outlier,NA,1119,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_8_length_25123_cov_17_685710-cat_2,0.002276313,Caudovirales,Caudovirales,N,lytic,552_0,NA,1078,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_100_length_3370_cov_19_368178-cat_2,0.002453638,Unassigned,Unassigned,N,lytic,553_0,Parabacteroides,164,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_4_length_37259_cov_25_305370-cat_2,0.002770334,Caudovirales,Caudovirales,N,lytic,552_0,Parabacteroides,1953,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_10_length_23899_cov_21_668518-cat_2,0.003268216,Unassigned,Unassigned,N,lytic,552_0,NA,1487,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_10_length_10213_cov_4_476700-cat_2,0.004328092,Unassigned,Unassigned,N,lytic,552_0,NA,837,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_26_length_10425_cov_80_245485-cat_2,0.004524154,Unassigned,Unassigned,N,lytic,553_0,Parabacteroides,928,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_79_length_3513_cov_1_880390-cat_2,0.004856396,Unassigned,Unassigned,N,lytic,Outlier,NA,336,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_42_length_3893_cov_2_566649-cat_2,0.004878441,Unassigned,Unassigned,N,lytic,553_0,NA,362,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_158_length_4423_cov_2_241853-cat_2,0.005345021,Unassigned,Unassigned,N,lytic,Outlier,NA,461,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_87_length_3245_cov_2_023412-cat_2,0.005501316,Unassigned,Unassigned,N,lytic,711_0,NA,333,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_94_length_7509_cov_2_434571-cat_2,0.006016787,Unassigned,Unassigned,N,lytic,Outlier,NA,870,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_47_length_10231_cov_7_812747-cat_2,0.006087291,Unassigned,Unassigned,N,lytic,552_0,NA,1169,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_99_length_3459_cov_1_948379-cat_2,0.006142462,Unassigned,Unassigned,N,lytic,711_0,NA,407,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_62_length_3486_cov_91_403096-cat_1,0.00638347,Unassigned,Unassigned,N,lytic,713_0,Bacteroides,445,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_12_length_6269_cov_165_412081-cat_2,0.006592367,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,781,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_23_length_4142_cov_2_756413-cat_2,0.007032299,Unassigned,Unassigned,N,lytic,711_0,NA,545,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_79_length_7690_cov_17_183790-cat_2,0.007221075,Unassigned,Unassigned,N,lytic,552_0,NA,1061,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_27_length_4444_cov_220_632847-cat_2,0.007348343,Caudovirales,Caudovirales,N,lytic,618_0,NA,625,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_30_length_4217_cov_215_653790-cat_2,0.007569134,Unassigned,Unassigned,N,lytic,638_0,NA,615,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_18_length_5021_cov_3_139967-cat_2,0.007599093,Caudovirales,Caudovirales,N,lytic,618_0,NA,726,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_7_length_12079_cov_146_341700-cat_2,0.007647538,Caudovirales,Siphoviridae,N,lytic,638_0,NA,1769,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_22_length_5102_cov_218_640402-cat_2,0.007729772,Unassigned,Unassigned,N,lytic,711_0,NA,764,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_132_length_5303_cov_3_012558-cat_2,0.007865651,Unassigned,Unassigned,N,lytic,618_0,NA,799,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_88_length_4556_cov_115_273199-cat_2,0.007929333,Unassigned,Unassigned,N,lytic,Outlier,NA,687,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_486_length_3875_cov_2_935966-cat_2,0.008024848,Unassigned,Unassigned,N,lytic,Outlier,NA,579,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_88_length_13208_cov_4_040899-cat_2,0.008114088,Caudovirales,Myoviridae,N,lytic,622_0,NA,2035,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_17_length_5358_cov_2_380233-cat_2,0.008256355,Unassigned,Unassigned,N,lytic,637_0,NA,859,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_54_length_4545_cov_3_103893-cat_2,0.008289669,Unassigned,Unassigned,N,lytic,618_0,NA,729,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_84_length_3700_cov_3_060453-cat_2,0.008308523,Caudovirales,Myoviridae,N,lytic,803_0,NA,600,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_13_length_18220_cov_20_174377-cat_2,0.008379428,Caudovirales,Myoviridae,N,lytic,618_0,NA,2896,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_178_length_3843_cov_2_340420-cat_2,0.008408805,Unassigned,Unassigned,N,lytic,Outlier,NA,619,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_46_length_11191_cov_2_484544-cat_2,0.008463128,Caudovirales,Caudovirales,N,lytic,622_0,NA,1802,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_4_length_20214_cov_152_704585-cat_2,0.008491736,Caudovirales,Myoviridae,N,lytic,622_0,NA,3249,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_381_length_4614_cov_2_698239-cat_2,0.008569527,Unassigned,Unassigned,N,lytic,637_0,NA,756,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_17_length_5703_cov_219_200323-cat_2,0.008655498,Caudovirales,Siphoviridae,N,lytic,Outlier,NA,952,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_66_length_6484_cov_49_224005-circular-cat_1,0.008686379,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,1097,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_17_length_15996_cov_15_057092-cat_2,0.008875948,Caudovirales,Myoviridae,N,lytic,622_0,NA,2697,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_11_length_4654_cov_39_516015-cat_2,0.008877589,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,796,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_168_length_3818_cov_3_280412-cat_1,0.009052983,no_order_Microviridae,Microviridae,N,lytic,714_0,Bacteroides,686,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_5_length_16757_cov_211_474263-cat_2,0.009166344,Caudovirales,Myoviridae,N,lytic,644_0,NA,2995,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_114_length_5993_cov_3_028640-cat_2,0.009189649,Unassigned,Unassigned,N,lytic,637_0,NA,1062,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_90_length_3164_cov_2_583471-cat_2,0.009214454,Unassigned,Unassigned,N,lytic,Outlier,NA,578,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_254_length_6075_cov_402_150303-circular-cat_1,0.009221135,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,1059,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_19_length_4979_cov_3_509481-cat_2,0.00949504,Unassigned,Unassigned,N,lytic,Outlier,NA,898,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_53701_cov_9_689140-cat_2,0.009508049,Caudovirales,Myoviridae,N,lytic,620_0,NA,9748,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_9_length_14658_cov_5_652949-cat_2,0.009540961,Unassigned,Unassigned,N,lytic,621_0,NA,2712,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_25_length_4255_cov_813_456153-cat_2,0.009623278,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,791,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_6571_cov_6_048107-cat_1,0.009634466,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,1240,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_69_length_4194_cov_2_903369-cat_2,0.009698271,Unassigned,Unassigned,N,lytic,Outlier,NA,774,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_63_length_4867_cov_423_282068-cat_2,0.009752939,no_order_Microviridae,Microviridae,N,lytic,714_0,Bacteroides,929,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_15_length_16280_cov_27_332570-cat_2,0.009856123,Unassigned,Unassigned,N,lytic,638_0,NA,3067,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_84_length_7736_cov_2_101853-cat_2,0.009954575,Unassigned,Unassigned,N,lytic,621_0,NA,1502,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_2_length_30300_cov_228_690883-cat_2,0.009969607,Caudovirales,Myoviridae,N,lytic,644_0,NA,5813,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_21_length_6610_cov_518_650008-cat_1,0.010056366,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,1269,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_98_length_5110_cov_2_554686-cat_2,0.010190814,Unassigned,Unassigned,N,lytic,Outlier,NA,1077,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_23_length_6484_cov_71_879346-circular-cat_1,0.01044287,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,1275,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_85_length_6484_cov_80_882177-circular-cat_1,0.01044873,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,1302,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_85965_cov_174_553508-circular-cat_2,0.010460073,Caudovirales,Myoviridae,N,lytic,620_0,NA,17098,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_21_length_36779_cov_4_642039-cat_2,0.010467486,Caudovirales,Myoviridae,N,lytic,621_0,NA,7424,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_19_length_6484_cov_74_464842-circular-cat_1,0.010566868,no_order_Microviridae,Microviridae,N,lytic,713_0,Bacteroides,1306,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_85161_cov_219_648211-cat_2,0.010578464,Caudovirales,Myoviridae,N,lytic,620_0,NA,17082,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_85976_cov_30_858146-circular-cat_2,0.010620365,Caudovirales,Myoviridae,N,lytic,620_0,NA,17290,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_61_length_3350_cov_1867_797394-cat_1,0.010664117,no_order_Microviridae,Microviridae,N,lytic,714_0,Bacteroides,685,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_85964_cov_197_267053-circular-cat_2,0.010754384,Caudovirales,Myoviridae,N,lytic,620_0,NA,17568,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_1_length_86370_cov_15_516448-cat_2,0.010767444,Caudovirales,Myoviridae,N,lytic,620_0,NA,17569,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_3_length_84949_cov_42_116727-cat_2,0.010776455,Caudovirales,Myoviridae,N,lytic,620_0,NA,17347,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_68_length_4208_cov_4_020583-cat_2,0.010892123,Unassigned,Unassigned,N,lytic,Outlier,NA,883,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_271_length_3643_cov_3_238623-cat_2,0.011076873,Unassigned,Unassigned,N,lytic,Outlier,NA,808,Healthy_Phage
Galaxy2591-[Bowtie2_on_collection_1928__alignments__2-1_10_25],VIRSorter_NODE_18_length_15595_cov_32_708366-cat_2,0.011136515,Caudovirales,Myoviridae,N,lytic,644_0,NA,3343,Healthy_Phage
